initial	commonVariationMotif	commonVariationMotifOnly	anchor	solved	unsolved	pmWalk	exceedsMaxReadFamilies	noReadFamilies
RGSL38_01_297	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_1094	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_169	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_484	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_602	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_819104	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_821548	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_821982	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_822566	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_822594	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_02_826080	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	1	TRUE	FALSE
RGSL38_02_826118	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	1	TRUE	FALSE
RGSL38_03_205155	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_03_205219	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_03_205608	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_03_205669	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_03_205742	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	2	FALSE	FALSE
RGSL38_03_205777	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	4	FALSE	FALSE
RGSL38_04_6305	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_04_6434	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_05_2893	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_05_3928	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_05_609	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_07_566670	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_08_535978	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_537924	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_538312	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_538461	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_538856	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_538931	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_539047	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_539697	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_08_539748	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_08_541694	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_08_541879	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_541961	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_08_542215	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_230984	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	2	FALSE	TRUE
RGSL38_09_4393	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	TRUE	FALSE
RGSL38_09_446415	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	2	FALSE	FALSE
RGSL38_09_446495	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_447045	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_447183	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_447231	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_447521	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_447611	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_447755	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_449279	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_09_449354	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_12_407176	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	4	FALSE	FALSE
RGSL38_12_444013	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_12_49498	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_14_790439	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_14_790554	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_14_790643	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_14_790697	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_14_790824	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1048309	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1049212	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1049444	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_15_1049506	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1049617	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1049703	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1050167	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	0	TRUE	FALSE
RGSL38_15_1050428	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1050552	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1050593	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1050739	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_15_1050878	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1050943	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	1	FALSE	FALSE
RGSL38_15_1051466	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1052869	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_15_1052975	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	0	FALSE	FALSE
RGSL38_16_940044	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4	FALSE	FALSE
RGSL38_02_826053	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
